title,overview
The Dark Knight,Action Crime Drama Batman faces Joker in Gotham city crime thriller
Inception,Action Sci-Fi Thriller dream within dream heist mind-bending science fiction
Interstellar,Adventure Drama Sci-Fi space travel black holes love and time relativity
The Matrix,Action Sci-Fi simulated reality hacker fights machines virtual world
Avengers Endgame,Action Adventure Sci-Fi superheroes assemble final battle against Thanos
Iron Man,Action Adventure Sci-Fi genius billionaire builds powered armor suit hero
Spider-Man Homecoming,Action Adventure Sci-Fi young hero balances school and superhero life
The Godfather,Crime Drama mafia family power loyalty organized crime classic
Pulp Fiction,Crime Drama nonlinear stories hitmen crime underworld dark comedy
Forrest Gump,Drama Romance comedy life journey historical events friendship love
The Shawshank Redemption,Drama prison friendship hope redemption injustice
Titanic,Drama Romance ship disaster love story historical tragedy
The Notebook,Drama Romance love story memory illness lifetime relationship
La La Land,Comedy Drama Romance jazz music dreams Los Angeles love
Toy Story,Animation Adventure Comedy toys come to life friendship adventure
Finding Nemo,Animation Adventure Comedy father searches ocean for lost son
The Lion King,Animation Adventure Drama lion cub exile responsibility kingdom
Coco,Animation Adventure Family music afterlife family remembrance
Get Out,Horror Mystery Thriller racial tension suburban nightmare suspense
A Quiet Place,Drama Horror Sci-Fi silent family survival creatures sound
The Conjuring,Horror Mystery Thriller paranormal investigators haunted house
John Wick,Action Crime Thriller hitman revenge assassins stylish action
Mad Max Fury Road,Action Adventure Sci-Fi desert chase survival post-apocalyptic
Mission Impossible,Action Adventure Thriller spy gadgets impossible missions
The Grand Budapest Hotel,Adventure Comedy Drama hotel concierge war era quirky comedy
Whiplash,Drama Music ambitious drummer intense teacher perfection
The Social Network,Biography Drama creation of Facebook ambition friendship
Joker,Crime Drama Thriller origin story mental illness society chaos
Parasite,Comedy Drama Thriller class conflict family infiltration dark satire
Dune,Action Adventure Sci-Fi desert planet spice political power epic
